"track_name","track_link","artist_name"
"화 (火花) [HWAA]","z3szNvgQxHo","(G)I-DLE"
"شاغل التلفون","jkfNRMCEgIs","--"
"Missing song title","","--"
"HEĽENINE OČI - NAKA | Official lyric video 2020","A3eWSytd8og","--"
"Planeta Zombie","TRsDgmNzo2w","--"
"קטן עלינו","kB0_vTznm_8","--"
"Gorani Shad Abul Tawgozi mohsen","ZE1jKsasp0k","Abul Tawgozi Mohsen Mohamadi"
"うっせぇわ","Qp3b-RXtz4w","Ado"
"Titliaan","YPohR_9v6HA","Afsana Khan"
"لاوکێ من (Lawke Min)","CQkwNP9H1AI","Alend Hazim"
"Mi-o dat Dumnezeu un gând","5IZKJBN1yYE","Alexandru Pop"
"Infidèle","7MTwbQB7q5k","Alikiba"
"1,2,3","1QH7Aw5pA30","Amel Bent"
"من باهات قهرم (Man Bahat Ghahram)","8XBrW_9ZyEs","Amir Tataloo"
"Man Bahat Ghahram","hx2iQEOh8cU","Amir Tataloo"
"Mikham","cgfH4tWx3mc","Amir Tataloo"
"أحلى صبية (Ahla Sabiyeh)","lQde-T9Q0k4","Amjad Jomaa"
"Vai Dormir","vzGDTS93waw","Anderson Mário"
"Vaathi Coming","fRD_3vJagxk","Anirudh Ravichander"
"Don't Play","qjQjxpnwVZw","Anne-Marie"
"Mungkin Hari Ini Esok Atau Nanti","fR4B5FDlNBA","Anneth"
"Los Dioses","fg4ZY92w0L4","Anuel AA"
"Antes","qNIyRL8EOk0","Anuel AA"
"Brown Munde","VNs_cCtdbPc","AP Dhillon"
"34+35","B6_iQvaIjXw","Ariana Grande"
"Khairiyat","hoNb6HuNmU0","Arijit Singh"
"Janam Janam","pEKe-mx5Ikw","Arijit Singh"
"ButtaBomma","2mDCVzruYzQ","Armaan Malik"
"Tumpa","oh-btKnbTpY","Arob Dey Chowdhuri"
"Дежавю","D83kYtgLZpI","Artem Pivovarov"
"Okey Oka Lokam","hP93gA8F6sM","Arun Chiluveru"
"يشبهك قلبي","AspEaxovpWA","Aseel Hameem"
"RÉT","GDiMDibAqcU","Azahriah"
"DÁKITI","TmKh7lAwnBI","Bad Bunny"
"Olyan Ő (Live)","lEU011dGjbk","Bagossy Brothers Company"
"JINDGI KARI MARI RAMAR BHAMAR","A_CMwi_73_4","BECHARJI THAKOR"
"Frida","sEsrHr7lkqw","BEHM"
"Artigo 157","AF1uagn1PB4","Biel"
"Stórar Spurningar","YwEuGYrZ_Ww","Birnir"
"GIRL LIKE ME","vMLk_T0PPbk","Black Eyed Peas"
"How You Like That","ioNng23DkIM","BLACKPINK"
"Summeryomuthi","AagjAUE8U8s","Blaq Diamond"
"Bomboclak - Nou Noun Nissa (Clip Officiel)","agqw6rt8u-M","Bomboclak"
"Karaoke","fHFx6FbUMRQ","Boomdabash"
"Budala","jEEBcmyWf-k","BQL"
"Throat Baby (Go Baby)","ushbQmye-To","BRS Kash"
"Ikinyafu","p99i3PCNiIw","Bruce Melodie"
"Dynamite","gdZLi9oWNZg","BTS"
"Umsebenzi Wethu","ehbsxBmCY-c","Busta 929"
"Tú Me Dejaste De Querer","ltmO9XQVdSg","C. Tangana"
"Vida de Rico","qKp1f7Vn9dM","Camilo"
"Ropa Cara","YrtMpe0WOpc","Camilo"
"Şeytan diyor ki","_Ny89Wp7bGQ","Cansever"
"Karabuu","Ysf4QRrcLGM","Chandan Shetty"
"Party Freak","zJSP3I1lCco","Chandan Shetty"
"El Juidero","BLlKQN8Isc4","Chimbala"
"Dime Cómo Quieres","Ge4AKbnr6ME","Christian Nodal"
"Whoopty","2xWkATdMQms","CJ"
"ดึงดัน","AZ_t9iAJRDw","Cocktail Band"
"Юность","aqsgyOhrRMY","Dabro"
"De Vuelta Pa' La Vuelta","VibGLc41UvQ","Daddy Yankee"
"Blanický manifest","fCTDZsAymBg","Daniel Landa"
"Area De Jatt","FTGs_F7xr-0","Darsh Dhaliwal"
"Jowo","l6QMJniQWxQ","Davido"
"The Best","91D1H29rToQ","Davido"
"Musisz się starać","MtE9yUivxGA","Defis"
"Satru","fKVgm3_x-OI","Denny Caknan"
"Nina","dFNP9Y470QY","Devito"
"Call Me If","bK-T6X96wyE","Dexta Daps"
"Kaattu Payale","JwvM4Fiha7E","Dhee"
"Harrom","6_Gfs98B0fY","Dhurata Dora"
"Waah!","HCuTwNgY3_M","Diamond Platnumz"
"Adom Grace","i0sF0bTgh7M","Diana Hamilton"
"Facas (Ao Vivo)","VntVkQRaAS8","Diego & Victor Hugo"
"Wish","0JJIl44hBBQ","Diler Kharkiya"
"Musiba","PbmYx7Ga7L0","Dip Doundou Guiss"
"Juro Que Te Amo","vAFEBs82Rgs","Dj Erug"
"Blinding Lights (Remix)","JquGVMA_oqk","Dj Lauuh"
"La Patronne","zaL4LzgoOWo","Djely Kaba Bintou Kouyaté"
"Streets","oqv35UZepIM","Doja Cat"
"Make a Pose (Freestyle)","gAUU5uXsFiI","Don Xhoni"
"gorit","yjrpGqaN6Fs","DOROFEEVA"
"Évszakok","IcozNr1UMis","DR BRS"
"Fever","vs61OHs2g-w","Dua Lipa"
"Je mi fajn","PhdmtUuX7J0","Earth"
