"track_name","track_link","artist_name"
"שקיעות אדומות","VTbqsoJYAZA","Eden Hason"
"Bobote (Remix)","3EDiNjDdElY","El Experimento"
"Cabrón y Vago","TsGuAJc9z38","El Fantasma"
"أخواتي","P66GgswsvCc","El Sawareekh"
"La Historia","-FaMSxpiTII","El Taiger"
"Delim Delim","h4hr6mosZEk","Elcin Goycayli"
"Bhagya Ma Khot Chha","O2CFKCGP7Oc","Eleena Chauhan"
"Cœur noir","O1upgsqm-Sc","Eva"
"Panalo (Live)","uJSbt6cPbmA","Ez Mil"
"จำเลยรัก [Defendant Of Love]","PSEcZas-QZg","F.HERO"
"إبقى قابلني","mJlZT7iQjLg","Fadel Chaker"
"Un coup","G0mM2XdjmHo","Fally Ipupa"
"Likolo","lG-klvI4yzI","Fally Ipupa"
"Ocean","2eGqZ4_rEew","Freder Seric"
"Life Is Good","l0U7SxXHkPY","Future"
"Къде беше ти","XXsJxOxa4Sk","Galena"
"inesquecível","PcXtzbdCd-E","Giulia Be"
"Pulei Na Piscina (Ao Vivo)","1Ji48IQkIxQ","Guilherme & Benuto"
"Mar la Arag","xfLG1U2DBRw","GULLEDSIMBA"
"BLUEBERRY","vClqvioJETU","Guzior"
"فاضي شوية","guCwdHngTmM","Hamza Namira"
"LDR ( layang dungo restu )","-Gefi4sxZgM","Happy Asmara"
"ANIMAL","0U_sby8xwSQ","Haval"
"HAYATI","DFtqrSYpTBI","Haval"
"Voodoo","yX_jATBB434","Hawk"
"Mo Pou Fight","n2dafRununo","Helix Dynasty"
"Saiyaan Ji","VEkj2sanAeU","Honey Singh"
"Barn av vår tid","7tBBw-8mM2o","Hov1"
"BB","XXYQEB9UgMo","Huguo Boss"
"بالبنط العريض","M3sxUE4eIac","Hussain Al Jassmi"
"Bir Sebebi Var","uTCDcXN5pzQ","İkilem"
"Nafaqayso","Gb7Odf_i-z4","Ilkacase Qays"
"Teman","_Pq_GHlveT4","Iman Troye"
"Guilty","B8G3zCnZvMU","Inder Chahal"
"Она любила розы","3bY_WY4pTBE","Islam Itlyashev"
"На нервах","5860mTG8J_8","Islam Itlyashev"
"Celebrity","0-q1KafFCLU","IU"
"Unfollow","qYzwU1RQaAg","Jador"
"Gura Ta","NUQJl0rBXQY","Jador"
"Virgin","nPsntkvrc54","Jah Vinci"
"Nu Wij Niet Meer Praten","FtiWKGwxrlA","Jake Reese"
"Mně snad jebne 2","7vkjCwkFsAc","Jaromír Nohavica"
"Eliana","wVsFwRp4LAo","Jason Lejuste"
"Xerecard","mTrqk82VpJI","Jeff Costa"
"Save Me","FxFNprPOdss","Jelly Roll"
"Lag’e Bai","lbTpZt7SQRM","Jeon"
"No Ta Bale la Pena","EFVQXsfiJA8","Jeon"
"Kudrat","68r5drRZbdc","Jignesh Barot"
"M * ther F ** k","VBnfidhf5Q8","JUL"
"Làm Gì Phải Hốt","1seYuaWehxY","JustaTee"
"Pouki'n Te Marye","o4F0Krf2qJ8","K-dilak Mesaje a"
"Libaas","V5En3Ks3OjE","Kaka"
"Berhenti Kasihan","nndQxbRSUKs","Kapthenpurek"
"Srdce nehasnou","BibNLUQG_-4","Karel Gott"
"BICHOTA","QaXhVryxVBk","Karol G"
"Ohne Dich","Dc5KpOqkgTI","Kasimir1441"
"Maleda","mYDfugsPtmM","Kassmasse"
"Defense","99bvkZrVK3s","Kater Karma"
"HIGHWAY","Ms_sxY5PNFg","Katja Krasavice"
"MDS","ntvuRlfjSP8","Kawe"
"Tor Laiga Re","4DM0WlIzINE","Kazi Bondhone"
"MONUMENT (Live)","jQaiarjof2k","Keiino"
"Ягода малинка","Rt2zZSaOFtw","Khabib"
"Hom Nay Em Cuoi Roi","NuWAl7-Vkwk","Khai Dang"
"Lamborghini","uEfAaHYBlh0","Khan Bhaini"
"Tcho Bal","POKn4dMRr2o","Kima"
"Краш","JGLZbBK5wTw","Klava Koka"
"Kar Yağıyor","5lEQTs4pXI8","Kukuli"
"Si diamant","yt2n8z-UILg","Kushtrim Dobra"
"L-Gante Rkt","SacHyFb_j1o","L-gante"
"Why Oh Why","MIA86QO-w2o","L.A.B."
"ดอกฟ้า","Gx75hxH96cY","Labanoon"
"Médusa","q1smhk1TIYs","Landy"
"Níu Duyên","uo6VU4euIbY","Le Bao Binh"
"L'Amérique pleure","sYRp8oP0yiw","Les Cowboys Fringants"
"Nao 't Zuuje","35rAGVmpcAU","Lex Uiting"
"Mi ci pulisco il cuore","0Ut9JJJVOzo","Ligabue"
"Voodoo","yX_jATBB434","Light"
"MANSORY","CDAsYgAXeb0","Lijpe"
"On Me","ieTnO1Dvt-I","Lil Baby"
"Vady","dLpUDKVcX30","LJO"
"Skeci di mi","HcmDUEzjJvs","Loreta KBA"
"MODO TURBO","QcS9ZndErHc","Luísa Sonza"
"LA CANZONE NOSTRA","XE6lV6xseQ4","MACE"
"Elpida","9jTAjs5vcus","Mad Clip"
"Premie fwa","PyhOnyHHmyk","Madii Madii & Jason Le Boucher"
"EL Dinero No Te Vale","Rvel7ugQb3k","Maka"
"Yako","RiXYByWfg1Q","Malakey"
"บ้านพี่สกลหนาวเเล้ว","jVMpdSv8IDM","MAN'R x BEARING ft ท้าวคำสิงห์ x ขยะหน้าต้นไม้"
"Noqu Bebe","MMg1z5dvGv0","Manoa Masi & Watson Tabua"
"Qoi,kursinbe","YJvLeE1kD7g","Marhaba Sabi"
"Animal","Uw0FZRTnPLc","Maria Becerra"
"Jerusalema","fCZVL_8D048","Master KG"
"Seharusnya Aku","qxvALeOiSdU","Maulana Wijaya"
"Camisa do Flamengo","oqkau20gIlA","MC Meno K"
"Ak Bon Zanmi'm","PtHxPzqXaWQ","MechansT"
"Да си тук","3hUrFYstvHI","Medi"
"Cry Baby","AqaQsL-8I_M","Megan Thee Stallion"
"Aroos E Nazdana (Live)","-o5jC2uBQZQ","Mehri Maftun"
"My baby","EevL0PfQGDg","Michael Melaku - Myko"
"Si me tomo una cerveza (REMIX)","xZyNJvq7Qg4","Migrantes"
"Ishqam","_Wg1UwuyfZ8","Mika Singh"
"No Te Enamores (Remix)","_HnpfzUtOnY","Milly"
"I PŘES TO VŠECHNO","KyAJU0PjfOU","Mirai"
"Behet Ghol Midam (Live)","cDNDVtoJhik","Mohsen Yeganeh"
"ยังฮักไผอีกได้บ่","ISsHnqkIpIs","Monkaen Kaenkoon"
"El Coleta","drDMQZVnwGo","Morad"
"Sand in My Boots (Live)","FXzE9eP1U_E","Morgan Wallen"
"Cristal & МОЁТ","wDsU4H2w48k","MORGENSHTERN"
"ماشافوهاش","m0_SMiOecko","Mouh Milano"
"Awuna Stress","TDpxolZ_ZTg","Mr. Bow"
"Gece Gündüz","KWkdY0NEWKI","Murda"
"Öptüm Nefesinden","NXthCwi4YQ8","Mustafa Ceceli"
"Edalıda Modalı Yar (Remix)","FpARIAV5vKc","Mustafa Taş"
"SPLASH","04nnME7dTG0","MV Killa"
"Bandido","W6fme7tcweQ","Myke Towers"
"Bertaut","HyhLsy6b0XI","Nadin Amizah"
"Veloma","d9S2gXtqmjQ","Nael"
"E Vaka Druma Yalo","FBMfJEc_OpI","Nasio Domoni"
"Bayda","2-yiKHqBdog","Navid Zardi"
"Renu","jMRY4jeT54s","Neel Akash"
"Üres Szívek","COmSsdf3V00","Nemazalány"
"NELETTO - Не переживай","Q_4BCvv4Vok","NILETTO"
"Tout en Gucci","HqJ1qP05Si0","Ninho"
"Nje here e mire (Vaccine)","1D__qUvBIDY","Noizy"
"3arbouch","Qr8eZSVaw10","NORDO"
"Lean On Me","YR0CKwOE1Ew","Now United"
"Universum","jEPKMGVukeA","Nublu"
"Yene Qis Geldi Qonag Yar","g9v2njjnp_Y","Nurlan Ordubadli"
"Mi Trokita Cumbia","BGNVOr-LIGE","Obzesion"
"Yeeko","OSbi2Jvls7A","Okyeame Kwame"
"drivers license","ZmDBbnmKpqQ","Olivia Rodrigo"
"Godly","DqUd72pK15Y","Omah Lay"
"Takah 3 Hari","i0BRKz7WNPI","Pamelia David"
"O Jogo do Quadrado","7FXCaAG9gsg","Panda e Os Caricas"
"Chhor Denge","hGf8rOwFzvo","Parampara Thakur"
"Tender","bJyn3-3ryHk","Patrice Roberts"
"Motel","s9f1AYlp3kk","Peppe Soks"
"Amor ou o Litrão","fdhzJPLkybM","Petter Ferraz"
"Triomphe de l'amour","c4F3gm-f0fI","Pierpoljak"
"At My Worst","8CEJoCr_9UI","Pink Sweat$"
"Tahmanägu (Siimi Remix)","pmHlIhe09Pc","Pitsa"
"avokaado (leidsin ta)","xeikHlU2Ptc","Pitsa"
"Lisabona","Z-eOaagvD8E","Plutónio"
"Back In Blood","0-Tm65i96TY","Pooh Shiesty"
"Hjulene På Bussen","fSDDn4l8JoQ","Popsi og Krelle"
"Tommelfinger, Tommelfinger, Hvor Er Du","GBTmiHOQBDQ","Popsi og Krelle"
"Sittapata Sinukulaku","WSpN-EjV2EI","Prabha"
"Morome Tanise || Richa Bharadwaj || Chinmoy Kaushik || Joy Nirvan || Pranoy Dutta ||","Rl2JO7L3DD8","Pranoy Dutta"
"Just A Dream","oUJbvr8jcyk","Prem Dhillon"
"لفلي حشيش (Leffely Hashish)","191TMYmOUiY","Rabih El Omary"
"DZERQD TUR","VKjRciPuI_w","Rafo Khachatryan"
"Raja Tani Jai Na Bahariya","mv06rn6PjjE","Rakesh Mishra"
"Melodic Cypher 2020","yLKTNpS5mDI","Rambo Kusco"
"Benz ili Bimmer","K9VIbCBSIJE","Rasta"
"Если тебе будет грустно","fIZihckPUB4","Rauf & Faik"
"Reloj","-3HjrdC0dAk","Rauw Alejandro"
"Number One","8bQOuK95uYQ","Rayvanny"
"52 GAJ KA DAMAN","CZt-rVn2BJs","Renuka Panwar"
"Chatak Matak","s9AICwTKgOg","Renuka Panwar"
"Ntyilo Ntyilo","RPHb1i2CtSA","Rethabile Khumalo"
"Sintimentu","TQ44tCxusPc","Rich Kalashh"
"Habibi","SD0LxBx9eUM","Ricky Rich"
"SEVEN 7oo","kTKsXM8CYOY","RM4E"
"Hlavy na hlavy","tLvZ1phAa-0","Robin Zoot"
"A Un Passo Dalla Luna","Kh-Dz1Fuo1E","Rocco Hunt"
"Bewafa Tera Masoom Chehra","sMoM0fYO-Qg","Rochak Kohli"
"اسياد اللواري","hN5BGidDIVY","Roua Naeem"
"Karmi Satting","xjzYekGr5G0","Ruku Suna"
"AUE","gXthVyuviBU","RuskieBanana"
"لوجه التاني (Lewjah Tani)","3koMzPZTRVE","Saad Lamjarred"
"A KA OUI","WUKssWbIsxE","Safi Diabate"
"Athmaavile","HaAKBtBI_fs","Sajeer Koppam"
"Dünyadan Uzak","5z-j3_J30rg","Sakiler"
"Ale jazz!","hHb3owr6PQg","Sanah"
"Amuthuma Malak","2jt51bZmRng","Sandun Perera"
"lady","2yivf9LdbhI","Sangiovanni"
"Monica","Z8g2Rw6BbSQ","Santrinos Raphael"
"Chhadiki Paribi Tate","t99dLEWAOuU","Satyajit, Lopamudra"
"Bande Organisée","-CVn3-3g_BI","SCH"
"Tik Tok","RkaIUateIxg","Sel"
"Embéllit","uGeg2Hn0BWA","Select Slk"
2020,"tYNNlqP1rk4","Separ"
"Où est le mariage","5S771DgPBEQ","Shan'L"
"Get Out My Head","IuzCPSohAu0","Shane Codd"
"Slobodná","ygCA8Y9xXl4","Sima"
"Duduke","jAFM25Zrkzo","Simi"
"Foi Pá Pum","G8xc80bWKzI","Simone & Simaria"
"Not","cD801P7ZrZY","Skillibeng"
"Coke","zUrXtyEz-gQ","Skillibeng"
"Dance With You","rGJTcd3JHWw","Skusta Clee"
"Öpüm Nefesinden","Ei-9Fobf0BU","Şöhret Memmedov"
"Olarmi","p0KNkP26f34","Şöhret Memmedov"
"O Nosso Amor","UYVs8M21HTk","Soraia Ramos"
"BeatBox 2","94zTrkr5_xY","SpotemGottem"
"Ithin Ko","bYKA50CYt1k","Suresh Dilshan"
"Venere e Marte","BfDsoB0jhsY","Takagi & Ketra"
"Meia Noite (Você tem meu Whatsapp)","mv7IFnlRldQ","Tarcísio do Acordeon"
"Lighter","V3Pavo7eCmI","Tarrus Riley"
"Moona","AXdijPyoybQ","Tayna"
"From Rags to Riches","2c4vE7pT4KA","TeeJay"
"Fall in Love","8JbDb-WsPDI","Tefflon"
"I Love You","HJwNvMcsJaw","Teflon Brothers"
"Lolo Bal","cC6CrT1rIjU","Tekisha Abel"
"Échec","Bj_zzr2PbN0","Tènin Diawara"
"Kutti Story","gjnrtCKZqYg","Thalapathy Vijay"
"Discoteque","CWqrdzNoBKA","The Roop"
"Save Your Tears","XXYlFuWEuKI","The Weeknd"
"Fara Tine","ZDqZB6Pb_lo","Theo Rose"
"Duurge","IE2uAOBjGyY","Thunderz"
"The Business","nCg3ufihKyU","Tiësto"
"Феноменален","QGO-44dImyw","Tijana Em"
"BẾP ẤM NGÀY TẾT","dnFn7d17Hl0","Trúc Nhân"
"Seni Öptüğüm Sokak","mf2BF8DFFI4","Tuğçe Kandemir"
"Ce Figuranta","NHHT_K4bTTs","Tzanca Uraganu"
"52 Gaj Ka Daman","CZt-rVn2BJs","Vandna Jangir"
"SOLO","FQy2vjF3pJw","VannDa-វណ្ណដា"
"SKULL (IF I DIE)","uylsiQUKEdg","VannDa-វណ្ណដា"
"Beli Grad","6jrwZmqq6xA","Voyage"
"Ele É Ele, Eu Sou Eu","CCZVUcadB2s","Wesley Safadão"
"DON XHONI Kokaina","v84FXItC01g","Whiskky"
"DIGI DIGI MUSICA ","qcnCWdxr6ss","Whizzkids"
"YELO - ATEM","8yhpgPXvXRo","Yelo"
"How I Been","ehper8I7NsI","YoungBoy Never Broke Again"
"Bukki Yi","YxH5ZlCiCb0","Youssou N'Dour"
"YURAK (Live)","A8QkIlB1eCk","Yulduz Usmonova"
"You’re Mines Still","_bptrMV3zHE","Yung Bleu"
"Melanž","jojRxf2qvqs","Yzomandias"
"Rodinnej Typ","pKWajFOII3A","Yzomandias"
"Tery Nal Payar Ho Gia","pbQBOkqhX0Y","Zaheer Lohar"
"Eu Tenho Medo","dgn0egjhDJs","Zé Vaqueiro"
"Sukari","CCmItvVgn6Q","Zuchu"
"Rebel","Od4QdGa7I20","Zum"
"Đi Về Nhà","vTJdVE_gjI0","Đen"
"Te Achers Qez Voronen","MmRKJvmRXF0","Аркадий Думикян"
"Кинодағыдай","sqJBuFihmIE","Ернар Айдар"
5000,"Jk7Ff9s2nkw","Ирина Кайратовна"
"Горький вкус","Bx8Fo7WRpXg","Султан Лагучев"
"רסיסים","fwY4EJRM7ak","רביב כנר"
"רוצה שלום","vc3E43tzyrA","רביב כנר"
"Shah Zargare (1)","ji6r4X7KDcM","جاوید امیرخیل"
"يما أنا اللي ريدو (Yomma Ana Li Rido)","ff1UOTiuNVI","لمى شريف"
"เกิดมาเพื่ออกหัก","Gc-jba47mIs","แจ๊ค แฟนฉัน"
"როდისმე","hEW5yCEesi0","დუეტი ლეონი"
"飛鳥和蟬 任然","B1KTAgu09uo","任然"
"白月光与朱砂痣","uJIZ7cI8Md4","大籽"
"泰语童声","YjhzRk25m6o","拼音师"
"阿拉斯加海湾","9AHvMtDwu6M","菲道尔"
