"id","country_code","name"
"CZA142","CZ","Ustecky kraj"
"JPA142","JP","Nagasaki"
"BEA103000","BE","Region Wallonne"
"GBA1E11000002","GB","Merseyside"
"TRA137","TR","Kastamonu"
"VNA131","VN","Thanh pho Hai Phong"
"JPA114","JP","Kanagawa"
"HUA15","HU","Eszak-Magyarorszag"
"CZA164","CZ","Jihomoravsky kraj"
"SKA15","SK","Zilinsky"
"MXA124","MX","San Luis Potosi"
"MYA110","MY","Selangor"
"MAA108","MA","l'Oriental"
"ARA190","AR","Tucuman"
"JPA121","JP","Gifu"
"SAA102","SA","Makkah Al-Mokarramah"
"BRA143","BR","Rio Grande do Sul"
"ROA152","RO","Giurgiu"
"MYA116","MY","Wilayah Persekutuan Putrajaya"
"USA102","US","Alaska"
"INA121","IN","ORISSA"
"IDA112","ID","Sumatera Utara"
"ARA134","AR","Formosa"
"ISA12","IS","Hofudborgarsveidid"
"GRA1471","GR","Kriti"
"GBA1E10000007","GB","Derbyshire"
"USA136","US","New York"
"ESA102","ES","Aragon"
"ITA113","IT","Abruzzo"
"LTA103","LT","Klaipedos apskritis"
"JPA112","JP","Chiba"
"TRA181","TR","Duzce"
"ROA125","RO","Mehedinti"
"TRA140","TR","Kirsehir"
"MXA126","MX","Sonora"
"INA127","IN","MAHARASHTRA"
"JPA119","JP","Yamanashi"
"GBA1E06000002","GB","Middlesbrough"
"USA105","US","Arkansas"
"ROA105","RO","Bihor"
"ITA116","IT","Puglia"
"GBA1E10000030","GB","Surrey"
"UAA173","UA","Chernivets'ka oblast'"
"FRA176","FR","Languedoc-Roussillon-Midi-Pyrenees"
"USA138","US","North Dakota"
"PHA103","PH","Central Luzon"
"BRA124","BR","Rio Grande do Norte"
"SEA123","SE","Jamtlands"
"HUA14","HU","Del-Dunantul"
"GBA1S12000046","GB","Glasgow City"
"GTA101","GT","Guatemala"
"PTA118","PT","Alentejo"
"ARA194","AR","Tierra del Fuego"
"FRA111","FR","Ile-de-France"
"KZA155","KZ","Pavlodar o."
"ESA111","ES","Extremadura"
"PLA108","PL","Lubuskie"
"TRA145","TR","Manisa"
"VEA115","VE","Bolivariano de Miranda"
"PTA116","PT","Centro"
"USA146","US","South Dakota"
"DKA1083","DK","Region Syddanmark"
"GBA1S12000033","GB","Aberdeen City"
"IDA152","ID","Nusa Tenggara Barat"
"INA134","IN","PONDICHERRY"
"CZA132","CZ","Plzensky kraj"
"JPA147","JP","Okinawa"
"PYA100","PY","Asuncion"
"FRA132","FR","Nord-Pas-de-Calais-Picardie"
"TRA126","TR","Eskisehir"
"SVA112","SV","San Miguel"
"PHA101","PH","Ilocos Region"
"THA165","TH","Phitsanulok"
"DEA109","DE","Bayern"
"NIA130","NI","Chinandega"
"ITA105","IT","Veneto"
"THA147","TH","Sakon Nakhon"
"FRA184","FR","Auvergne-Rhone-Alpes"
"INA129","IN","KARNATAKA"
"VEA116","VE","Monagas"
"USA150","US","Vermont"
"GRA1242","GR","Dytiki Ellada"
"TRA131","TR","Hatay"
"CYA11","CY","Eparchia Lefkosias"
"NPA152401","NP","Central Development Region"
"KRA143","KR","Chungcheongbuk-do"
"GBA1E10000021","GB","Northamptonshire"
"MXA119","MX","Nuevo Leon"
"MNA119","MN","Ulaanbaatar"
"BGA133","BG","Severoiztochen"
"VNA122","VN","Tinh Quang Ninh"
"VEA113","VE","Lara"
"MZA111","MZ","Cidade de Maputo"
"THA122","TH","Chanthaburi"
"ITA119","IT","Sicilia"
"RUA13","RU","Severo-Zapadnyy (SZFO)"
"GBA1E10000019","GB","Lincolnshire"
"INA101","IN","JAMMU AND KASHMIR"
"ARA102","AR","Ciudad Autonoma de Buenos Aires"
"CRA15","CR","Guanacaste"
"KRA150","KR","Jeju-do"
"IRA108","IR","Tehran"
"JPA127","JP","Osaka"
"USA151","US","Virginia"
"ECA106","EC","Chimborazo"
"BRA117","BR","Tocantins"
"PRA172097","PR","Mayaguez"
"ITA118","IT","Calabria"
"USA140","US","Oklahoma"
"UAA135","UA","Kirovohrads'ka oblast'"
"MKA1008","MK","Skopski"
"ETA110","ET","Addis Ababa"
"ITA111","IT","Marche"
"INA123","IN","MADHYA PRADESH"
"MEA120117","ME","Niksic"
"TRA150","TR","Nevsehir"
"ROA106","RO","Bistrita-Nasaud"
"CAA135","CA","Ontario"
"ESA104","ES","Balears, Illes"
"MXA111","MX","Guanajuato"
"ESA107","ES","Castilla y Leon"
"BOA103","BO","Cochabamba"
"KRA147","KR","Gyeongsangbuk-do"
"VNA168","VN","Tinh Lam Dong"
"TRA115","TR","Burdur"
"ROA137","RO","Vaslui"
"KRA142","KR","Gangwon-do"
"GBA1S12000040","GB","West Lothian"
"BAA11","BA","Republika Srpska"
"ROA113","RO","Constanta"
"TNA111","TN","Tunis"
"JPA111","JP","Saitama"
"GBA1S12000017","GB","Highland"
"CYA15","CY","Eparchia Lemesou"
"ECA107","EC","El Oro"
"AEA103","AE","Dubai"
"MKA1001","MK","Vardarski"
"GBA1E10000017","GB","Lancashire"
"KZA123","KZ","Atyrau o."
"VNA120","VN","Tinh Lang Son"
"ITA103","IT","Lombardia"
"SKA17","SK","Presovsky"
"PRA172127","PR","San Juan"
"GBA1E06000009","GB","Blackpool"
"NIA155","NI","Managua"
"ECA118","EC","Tungurahua"
"PLA122","PL","Pomorskie"
"PEA111","PE","Ica"
"PHA113","PH","National Capital Region  (NCR)"
"TRA121","TR","Diyarbakir"
"PEA102","PE","Ancash"
"NZA103","NZ","Waikato Region"
"ITA109","IT","Toscana"
"ESA116","ES","Pais Vasco"
"GBA1E10000012","GB","Essex"
"ARA162","AR","Rio Negro"
"GRA1231","GR","Thessalia"
"FRA128","FR","Normandie"
"KRA127","KR","Daegu"
"CRA11","CR","San Jose"
"ARA130","AR","Entre Rios"
"GBA1E10000006","GB","Cumbria"
"CZA110","CZ","Hlavni mesto Praha"
"IDA136","ID","Banten"
"JMA109","JM","St. Catherine"
"PEA106","PE","Cajamarca"
"ITA104","IT","Trentino-Alto Adige"
"MXA109","MX","Distrito Federal"
"GBA1E06000050","GB","Cheshire West and Chester"
"JPA128","JP","Hyogo"
"USA133","US","New Hampshire"
"GBA1E06000022","GB","Bath and North East Somerset"
"UAA132","UA","Kyivs'ka oblast'"
"ESA101","ES","Andalucia"
"ATA17","AT","Tirol"
"JPA134","JP","Hiroshima"
"GBA1E06000042","GB","Milton Keynes"
"CAA159","CA","British Columbia / Colombie-Britannique"
"USA128","US","Mississippi"
"USA141","US","Oregon"
"BRA125","BR","Paraiba"
"TRA124","TR","Erzincan"
"KZA115","KZ","Aktobe o."
"CAA148","CA","Alberta"
"MYA108","MY","Perak"
"JPA115","JP","Niigata"
"BGA141","BG","Yugozapaden"
"BZA13","BZ","Belize"
"SEA117","SE","Varmlands"
"NLA104","NL","Zuid-Nederland"
"UAA146","UA","L'vivs'ka oblast'"
"FRA193","FR","Provence-Alpes-Cote d'Azur"
"PTA115","PT","Algarve"
"ZAA1WC","ZA","Western Cape"
"ROA135","RO","Timis"
"SRA101","SR","Paramaribo"
"GBA1E10000032","GB","West Sussex"
"NZA113","NZ","Canterbury Region"
"PLA110","PL","Lodzkie"
"PLA116","PL","Opolskie"
"HNA106","HN","Choluteca"
"JPA126","JP","Kyoto"
"MKA1003","MK","Jugozapaden"
"VNA124","VN","Tinh Bac Giang"
"HUA13","HU","Nyugat-Dunantul"
"DOA118","DO","Puerto Plata"
"VEA103","VE","Anzoategui"
"MUA106","MU","Plaines Wilhems"
"VEA123","VE","Zulia"
"JPA124","JP","Mie"
"GBA1S12000018","GB","Inverclyde"
"JPA130","JP","Wakayama"
"ATA15","AT","Salzburg"
"CZA180","CZ","Moravskoslezsky kraj"
"CLA113","CL","Santiago"
"EEA137","EE","Harju maakond"
"TRA138","TR","Kayseri"
"GRA1232","GR","Sterea Ellada"
"PAA1109","PA","Veraguas"
"ROA108","RO","Brasov"
"JPA113","JP","Tokyo"
"MKA1007","MK","Severoistochen"
"SKA11","SK","Bratislavsky"
"BYA13","BY","Gomelskaya"
"KZA171","KZ","Astana k."
"USA111","US","District of Columbia"
"ATA12","AT","Kaernten"
"ROA129","RO","Prahova"
"ATA16","AT","Steiermark"
"ROA140","RO","Bucuresti"
"JPA131","JP","Tottori"
"PLA118","PL","Podkarpackie"
"SEA104","SE","Sodermanlands"
"MXA115","MX","Mexico"
"GRA1111","GR","Anatoliki Makedonia ke Thraki"
"GBA1E11000001","GB","Greater Manchester"
"BGA142","BG","Yuzhen tsentralen"
"INA119","IN","WEST BENGAL"
"UAA112","UA","Dnipropetrovs'ka oblast'"
"CLA105","CL","Valparaiso"
"ECA104","EC","Carchi"
"USA125","US","Massachusetts"
"CMA105","CM","Littoral"
"JPA138","JP","Ehime"
"SAA103","SA","Al-Madinah Al-Monawarah"
"KRA128","KR","Incheon"
"RSA102","RS","Region Vojvodine"
"USA155","US","Wisconsin"
"GBA1E06000020","GB","Telford and Wrekin"
"ALA112","AL","Vlore"
"USA110","US","Delaware"
"UAA153","UA","Poltavs'ka oblast'"
"HNA105","HN","Cortes"
"DOA112","DO","La Romana"
"GBA1W06000015","GB","Cardiff"
"ESA115","ES","Navarra, Comunidad Foral de"
"REA12","RE","Saint-Pierre"
"TRA143","TR","Kutahya"
"BNA102","BN","Brunei-Muara"
"DEA115","DE","Sachsen-Anhalt"
"NZA107","NZ","Taranaki Region"
"TRA122","TR","Edirne"
"DOA123","DO","San Pedro De Macoris"
"ECA123","EC","Santo Domingo de los Tsachilas"
"CZA131","CZ","Jihocesky kraj"
"JPA103","JP","Iwate"
"MAA114","MA","Fes - Boulmane"
"ROA136","RO","Tulcea"
"ALA103","AL","Durres"
"PHA104","PH","Calabarzon"
"PLA102","PL","Dolnoslaskie"
"TRA159","TR","Tekirdag"
"IEA12","IE","Munster"
"THA192","TH","Trang"
"USA147","US","Tennessee"
"USA149","US","Utah"
"CZA172","CZ","Zlinsky kraj"
"CVA17","CV","Santiago"
"MYA107","MY","Pulau Pinang"
"MAA109","MA","Grand Casablanca"
"TRA171","TR","Kirikkale"
"VEA108","VE","Carabobo"
"BYA17","BY","Mogilevskaya"
"GBA1E06000006","GB","Halton"
"VNA148","VN","Thanh pho Da Nang"
"CZA141","CZ","Karlovarsky kraj"
"MXA107","MX","Chiapas"
"GBA1W06000022","GB","Newport"
"SVA111","SV","Usulutan"
"HUA16","HU","Eszak-Alfold"
"SEA114","SE","Vastra Gotalands"
"YEA113","YE","Sana'a City"
"SEA118","SE","Orebro"
"ARA158","AR","Neuquen"
"HUA12","HU","Kozep-Dunantul"
"USA135","US","New Mexico"
"UAA163","UA","Kharkivs'ka oblast'"
"TRA132","TR","Isparta"
"JPA118","JP","Fukui"
"LVA101","LV","Riga Region"
"DOA111","DO","La Altagracia"
"KGA141711","KG","Bishkek sh."
"MYA104","MY","Melaka"
"DKA1085","DK","Region Sjaelland"
"ESA117","ES","Rioja, La"
"GBA1E10000031","GB","Warwickshire"
"ROA139","RO","Vrancea"
"BRA152","BR","Goias"
"TRA158","TR","Sivas"
"GBA1E06000045","GB","Southampton"
"PEA125","PE","Ucayali"
"ROA122","RO","Iasi"
"MDA10101000","MD","Chisinau"
"VEA111","VE","Falcon"
"RSA101","RS","Beogradski region"
"USA145","US","South Carolina"
"KRA141","KR","Gyeonggi-do"
"INA106","IN","HARYANA"
"NGA125","NG","Lagos"
"GBA1S12000042","GB","Dundee City"
"MXA108","MX","Chihuahua"
"CAA113","CA","New Brunswick / Nouveau-Brunswick"
"TRA165","TR","Van"
"KZA159","KZ","Soltustik Kazakstan o."
"VEA119","VE","Sucre"
"JPA139","JP","Kochi"
"UAA151","UA","Odes'ka oblast'"
"UAA123","UA","Zaporiz'ka oblast'"
"MYA103","MY","Kelantan"
"GBA1S12000036","GB","City of Edinburgh"
"PLA106","PL","Lubelskie"
"ROA110","RO","Buzau"
"JMA103","JM","St. James"
"PHA112","PH","Soccsksargen"
"VEA118","VE","Portuguesa"
"THA114","TH","Phra Nakhon Si Ayudhya"
"BRA150","BR","Mato Grosso do Sul"
"ROA114","RO","Covasna"
"JPA116","JP","Toyama"
"ROA115","RO","Dambovita"
"TRA166","TR","Yozgat"
"JPA102","JP","Aomori"
"GBA1E06000013","GB","North Lincolnshire"
"SEA105","SE","Ostergotlands"
"KZA127","KZ","Batys Kazakstan o."
"UAA174","UA","Chernihivs'ka oblast'"
"GBA1W06000011","GB","Swansea"
"PLA114","PL","Mazowieckie"
"EEA167","EE","Parnu maakond"
"JPA129","JP","Nara"
"GBA1E06000054","GB","Wiltshire"
"GBA1E10000028","GB","Staffordshire"
"JPA146","JP","Kagoshima"
