"artist_name","latitude","longitude","views","track_name","track_link","country_code","geo_name","geonameid","boundaries_admin_0","boundaries_admin_1","boundaries_postal_1"
"",34.92291,33.6233,10000,"Νικόλας Αντωνιάδης - Αν μ΄ αγαπάς όσο κι εγώ - Official Lyric Video","QDWjDsfYHJ0","CY","Larnaca",146400,"CY","CYA14","CYP160"
"",50.14734,14.10285,10000,"OCEÁN","HXrKPymOiSQ","CZ","Kladno",3073699,"CZ","CZA120","CZP127"
"",50.72431,15.17108,10000,"OCEÁN","HXrKPymOiSQ","CZ","Jablonec nad Nisou",3074603,"CZ","CZA151","CZP146"
"187 Strassenbande, Bonez MC, Frauenarzt",49.75565,6.63935,10000,"Extasy","nmsJslOpDGE","DE","Trier",2821164,"DE","DEA107",""
"Alonzo",48.90018,2.30952,10000,"La Seleçao (feat. JUL & Naps)","larur6HCSko","FR","Clichy",3024597,"FR","FRA111",""
"Barbara Pravi",50.84833,5.68889,10000,"Voilà","VJuD7AnV-uw","NL","Maastricht",2751283,"NL","NLA104","NLP162"
"Benny Friedman",40.09789,-74.21764,10000,"A Yid","zGz_eVHddfo","US","Lakewood",5100280,"US","USA134","USP108"
"BesaBese",42.21389,20.73972,10000,"BesaBese - Nachts Unterwegs","-5UbNFjjiVk","XK","Prizren",786712,"KS","KSA15","KSP120"
"BesaBese",42.46045,21.46986,10000,"BesaBese - Nachts Unterwegs","-5UbNFjjiVk","XK","Gjilan",790674,"KS","KSA12","KSP160"
"Bruno Mars, Anderson .Paak, Silk Sonic",-40.35636,175.61113,10000,"Leave The Door Open","adLGHcj_fmA","NZ","Palmerston North",2185018,"NZ","NZA108",""
"Bruno Mars, Anderson .Paak, Silk Sonic",-39.06667,174.08333,10000,"Leave The Door Open","adLGHcj_fmA","NZ","New Plymouth",2186239,"NZ","NZA107",""
"Bruno Mars, Anderson .Paak, Silk Sonic",-39.4926,176.91233,10000,"Leave The Door Open","adLGHcj_fmA","NZ","Napier",2186313,"NZ","NZA106",""
"Bruno Mars, Anderson .Paak, Silk Sonic",-37.68611,176.16667,10000,"Leave The Door Open","adLGHcj_fmA","NZ","Tauranga",2208032,"NZ","NZA104",""
"Bruno Mars, Anderson .Paak, Silk Sonic",38.94278,-76.73028,10000,"Leave The Door Open","adLGHcj_fmA","US","Bowie",4349159,"US","USA124","USP120"
"Bruno Mars, Anderson .Paak, Silk Sonic",41.52005,-81.55624,10000,"Leave The Door Open","adLGHcj_fmA","US","Cleveland Heights",4833320,"US","USA139","USP144"
"Bruno Mars, Anderson .Paak, Silk Sonic",42.47337,-83.22187,10000,"Leave The Door Open","adLGHcj_fmA","US","Southfield",5010636,"US","USA126","USP148"
"Bruno Mars, Anderson .Paak, Silk Sonic",-38.13874,176.24516,10000,"Leave The Door Open","adLGHcj_fmA","NZ","Rotorua",6241325,"NZ","NZA104",""
"BSW",46.35,25.8,10000,"Mokambo Gang (feat. T. Danny)","xxYb4ZuUy8g","RO","Miercurea-Ciuc",673441,"RO","ROA119","ROP153"
"BSW",46.41667,20.33333,10000,"Mokambo Gang (feat. T. Danny)","xxYb4ZuUy8g","HU","Hódmezővásárhely",719965,"HU","HUA17",""
"BSW",47.90265,20.37329,10000,"Mokambo Gang (feat. T. Danny)","xxYb4ZuUy8g","HU","Eger",721239,"HU","HUA15",""
"BSW",46.68333,21.1,10000,"Mokambo Gang (feat. T. Danny)","xxYb4ZuUy8g","HU","Békéscsaba",722437,"HU","HUA17",""
"BSW",47.09327,17.91149,10000,"Mokambo Gang (feat. T. Danny)","xxYb4ZuUy8g","HU","Veszprém",3042929,"HU","HUA12",""
"BSW",46.45347,16.99104,10000,"Mokambo Gang (feat. T. Danny)","xxYb4ZuUy8g","HU","Nagykanizsa",3047679,"HU","HUA13",""
"BSW",46.36667,17.8,10000,"Mokambo Gang (feat. T. Danny)","xxYb4ZuUy8g","HU","Kaposvár",3050616,"HU","HUA14",""
"BSW",47.39489,18.91361,10000,"Mokambo Gang (feat. T. Danny)","xxYb4ZuUy8g","HU","Érd",3053281,"HU","HUA11",""
"BSW",46.96479,18.93974,10000,"Mokambo Gang (feat. T. Danny)","xxYb4ZuUy8g","HU","Dunaújváros",3053438,"HU","HUA12",""
"BTS",65.58415,22.15465,10000,"Butter","WMweEpGlu_U","SE","Luleå",604490,"SE","SEA125","SEP197"
"BTS",11.04199,76.08154,10000,"Butter","WMweEpGlu_U","IN","Malappuram",1264154,"IN","INA132","INP16765"
"BTS",11.86752,75.35763,10000,"Butter","WMweEpGlu_U","IN","Kannur",1274987,"IN","INA132","INP16700"
"BTS",49.79391,9.95121,10000,"Butter","WMweEpGlu_U","DE","Würzburg",2805615,"DE","DEA109",""
"BTS",48.52266,9.05222,10000,"Butter","WMweEpGlu_U","DE","Tübingen",2820860,"DE","DEA108",""
"BTS",47.66033,9.17582,10000,"Butter","WMweEpGlu_U","DE","Konstanz",2885679,"DE","DEA108",""
"BTS",48.76508,11.42372,10000,"Butter","WMweEpGlu_U","DE","Ingolstadt",2895992,"DE","DEA109",""
"BTS",49.40768,8.69079,10000,"Butter","WMweEpGlu_U","DE","Heidelberg",2907911,"DE","DEA108",""
"BTS",51.53443,9.93228,10000,"Butter","WMweEpGlu_U","DE","Göttingen",2918632,"DE","DEA103",""
"BTS",49.59099,11.00783,10000,"Butter","WMweEpGlu_U","DE","Erlangen",2929567,"DE","DEA109",""
"BTS",48.8846,2.26965,10000,"Butter","WMweEpGlu_U","FR","Neuilly-sur-Seine",2990611,"FR","FRA111",""
"BTS",48.82104,2.27718,10000,"Butter","WMweEpGlu_U","FR","Issy-les-Moulineaux",3012649,"FR","FRA111",""
"BTS",48.89672,2.25666,10000,"Butter","WMweEpGlu_U","FR","Courbevoie",3023141,"FR","FRA111",""
"BTS",48.83333,2.25,10000,"Butter","WMweEpGlu_U","FR","Boulogne-Billancourt",3031137,"FR","FRA111",""
"BTS",34.69926,-86.74833,10000,"Butter","WMweEpGlu_U","US","Madison",4074267,"US","USA101","USP135"
"BTS",36.18674,-94.12881,10000,"Butter","WMweEpGlu_U","US","Springdale",4132093,"US","USA105","USP172"
"BTS",26.24453,-80.20644,10000,"Butter","WMweEpGlu_U","US","Margate",4163407,"US","USA112","USP133"
"BTS",25.93315,-80.16255,10000,"Butter","WMweEpGlu_U","US","North Miami Beach",4166233,"US","USA112","USP133"
"BTS",26.13421,-80.23184,10000,"Butter","WMweEpGlu_U","US","Plantation",4168782,"US","USA112","USP133"
"BTS",28.56528,-81.58618,10000,"Butter","WMweEpGlu_U","US","Winter Garden",4178550,"US","USA112","USP134"
"BTS",33.94621,-84.33465,10000,"Butter","WMweEpGlu_U","US","Dunwoody",4192375,"US","USA113","USP130"
"BTS",29.99409,-90.24174,10000,"Butter","WMweEpGlu_U","US","Kenner",4329753,"US","USA122","USP170"
"BTS",39.27205,-76.73192,10000,"Butter","WMweEpGlu_U","US","Catonsville",4350635,"US","USA124","USP121"
"BTS",39.41427,-77.41054,10000,"Butter","WMweEpGlu_U","US","Frederick",4355585,"US","USA124","USP121"
"BTS",39.04455,-77.11887,10000,"Butter","WMweEpGlu_U","US","North Bethesda",4363843,"US","USA124","USP120"
