"artist_name","latitude","longitude","views","track_name","track_link","country_code","geo_name","geonameid","boundaries_admin_0","boundaries_admin_1","boundaries_postal_1"
"--",31.66926,34.57149,40000,"קטן עלינו","kB0_vTznm_8","IL","Ashkelon",295620,"IL","ILA16","ILP178"
"--",31.76904,35.21633,52200,"קטן עלינו","kB0_vTznm_8","IL","Jerusalem",281184,"IL","ILA11","ILP192"
"--",31.78199,35.21961,52100,"קטן עלינו","kB0_vTznm_8","IL","West Jerusalem",7498240,"IL","ILA11","ILP194"
"--",31.78336,35.23388,52100,"קטן עלינו","kB0_vTznm_8","PS","East Jerusalem",7303419,"IL","ILA11","ILP197"
"--",31.79213,34.64966,46400,"קטן עלינו","kB0_vTznm_8","IL","Ashdod",295629,"IL","ILA16","ILP177"
"--",31.89421,34.81199,48200,"קטן עלינו","kB0_vTznm_8","IL","Reẖovot",293725,"IL","ILA14","ILP176"
"--",31.97102,34.78939,82500,"קטן עלינו","kB0_vTznm_8","IL","Rishon LeẔiyyon",293703,"IL","ILA14","ILP175"
"--",32.01034,34.77918,58700,"קטן עלינו","kB0_vTznm_8","IL","H̱olon",294751,"IL","ILA15","ILP158"
"--",32.08227,34.81065,40300,"קטן עלינו","kB0_vTznm_8","IL","Ramat Gan",293788,"IL","ILA15","ILP153"
"--",32.08707,34.88747,91000,"קטן עלינו","kB0_vTznm_8","IL","Petaẖ Tiqwa",293918,"IL","ILA14","ILP149"
"--",32.175,34.90694,32500,"קטן עלינו","kB0_vTznm_8","IL","Kfar Saba",294514,"IL","ILA14","ILP144"
"--",32.33291,34.85992,59300,"קטן עלינו","kB0_vTznm_8","IL","Netanya",294071,"IL","ILA14","ILP142"
"--",32.44192,34.9039,29500,"קטן עלינו","kB0_vTznm_8","IL","Hadera",294946,"IL","ILA13","ILP138"
"--",32.81841,34.9885,60400,"קטן עלינו","kB0_vTznm_8","IL","Haifa",294801,"IL","ILA13","ILP133"
"--",33.00892,35.09814,16700,"קטן עלינו","kB0_vTznm_8","IL","Nahariyya",294117,"IL","ILA12","ILP122"
"--",48.14816,17.10674,191000,"HEĽENINE OČI - NAKA | Official lyric video 2020","A3eWSytd8og","SK","Bratislava",3060972,"SK","SKA11","SKP181"
"--",48.71395,21.25808,30800,"HEĽENINE OČI - NAKA | Official lyric video 2020","A3eWSytd8og","SK","Košice",724443,"SK","SKA18","SKP104"
"--",48.73946,19.15349,33200,"HEĽENINE OČI - NAKA | Official lyric video 2020","A3eWSytd8og","SK","Banská Bystrica",3061186,"SK","SKA16","SKP197"
