"artist_name","latitude","longitude","views","track_name","track_link","country_code","geo_name","geonameid","boundaries_admin_0","boundaries_admin_1","boundaries_postal_1"
"",-8.58333,116.11667,143000,"Mabruk Alfa Mabruk","17ZMj8azum0","ID","Mataram",1635882,"ID","IDA152","IDP183"
"",35.17531,33.3642,44800,"Ftes","PBoH5Bx_7Vg","CY","Nicosia",146268,"CY","CYA11","CYP119"
"",35.51124,24.02921,10500,"Rack - Davay","Ut38Ic3Ssgo","GR","Chaniá",260114,"GR","GRA1471",""
"",37.03913,22.11265,15300,"Rack - Davay","Ut38Ic3Ssgo","GR","Kalamata",261604,"GR","GRA1243",""
"",37.91033,23.72361,10000,"Rack - Davay","Ut38Ic3Ssgo","GR","Álimos",261614,"GR","GRA1351",""
"",37.97945,23.71622,402000,"Rack - Davay","Ut38Ic3Ssgo","GR","Athens",264371,"GR","GRA1351",""
"",38.0357,23.75733,14500,"Rack - Davay","Ut38Ic3Ssgo","GR","Néa Ionía",256614,"GR","GRA1351",""
"",38.05,23.8,19200,"Rack - Davay","Ut38Ic3Ssgo","GR","Maroúsi",265243,"GR","GRA1351",""
"",38.08333,23.73333,31700,"Rack - Davay","Ut38Ic3Ssgo","GR","Acharnés",265488,"GR","GRA1351",""
"",38.24444,21.73444,40100,"Rack - Davay","Ut38Ic3Ssgo","GR","Pátra",255683,"GR","GRA1242",""
"",39.55493,21.76837,13600,"Rack - Davay","Ut38Ic3Ssgo","GR","Tríkala",252664,"GR","GRA1231",""
"",39.63689,22.41761,35600,"Rack - Davay","Ut38Ic3Ssgo","GR","Lárisa",258576,"GR","GRA1231",""
"",40.64361,22.93086,131000,"Rack - Davay","Ut38Ic3Ssgo","GR","Thessaloníki",734077,"GR","GRA1112",""
"",48.75434,21.9195,10000,"HEĽENINE OČI - NAKA | Official video 2020","A3eWSytd8og","SK","Michalovce",724144,"SK","SKA18","SKP107"
"",48.89452,18.04436,10000,"HEĽENINE OČI - NAKA | Official video 2020","A3eWSytd8og","SK","Trenčín",3057140,"SK","SKA13","SKP191"
"",49.12153,18.42169,10000,"HEĽENINE OČI - NAKA | Official video 2020","A3eWSytd8og","SK","Považská Bystrica",3058060,"SK","SKA13","SKP101"
"",49.22315,18.73941,10000,"HEĽENINE OČI - NAKA | Official video 2020","A3eWSytd8og","SK","Žilina",3056508,"SK","SKA15","SKP101"
"--",50.14734,14.10285,10000,"Planeta Zombie","TRsDgmNzo2w","CZ","Kladno",3073699,"CZ","CZA120","CZP127"
"--",50.6404,13.82451,10000,"Planeta Zombie","TRsDgmNzo2w","CZ","Teplice",3064288,"CZ","CZA142","CZP141"
"--",50.72431,15.17108,10000,"Planeta Zombie","TRsDgmNzo2w","CZ","Jablonec nad Nisou",3074603,"CZ","CZA151","CZP146"
"--",50.76711,15.05619,10000,"Planeta Zombie","TRsDgmNzo2w","CZ","Liberec",3071961,"CZ","CZA151","CZP146"
"5MIINUST, Hendrik Sal-Saller",58.38588,24.49711,10000,"loodus ja hobused","lTJHofgwzRg","EE","Pärnu",589580,"EE","EEA167","EEP180"
"A1 x J1",42.98339,-81.23304,1060000,"Latest Trends","7zbt4zliK4c","CA","London",6058560,"CA","CAA135","CAP1N6B"
"A1 x J1",50.76871,0.28453,10000,"Latest Trends","7zbt4zliK4c","GB","Eastbourne",2650497,"GB","GBA1E10000011","GBP1BN"
"A1 x J1",50.82838,-0.13947,10600,"Latest Trends","7zbt4zliK4c","GB","Brighton",2654710,"GB","GBA1E06000043","GBP1BN"
"A1 x J1",50.83088,-0.1672,10000,"Latest Trends","7zbt4zliK4c","GB","Hove",2646504,"GB","GBA1E06000043","GBP1BN"
"A1 x J1",51.27904,1.07992,10000,"Latest Trends","7zbt4zliK4c","GB","Canterbury",2653877,"GB","GBA1E10000016","GBP1CT"
"A1 x J1",51.29424,-0.75565,10000,"Latest Trends","7zbt4zliK4c","GB","Farnborough",2649672,"GB","GBA1E10000014","GBP1GU"
"A1 x J1",51.31889,-2.20861,10000,"Latest Trends","7zbt4zliK4c","GB","Trowbridge",2635427,"GB","GBA1E06000054","GBP1BA"
"A1 x J1",51.3751,-2.36172,10000,"Latest Trends","7zbt4zliK4c","GB","Bath",2656173,"GB","GBA1E06000022","GBP1BA"
"A1 x J1",51.37891,0.52786,10000,"Latest Trends","7zbt4zliK4c","GB","Chatham",2653305,"GB","GBA1E06000035","GBP1ME"
"A1 x J1",51.38333,-0.1,22400,"Latest Trends","7zbt4zliK4c","GB","Croydon",2651817,"GB","GBA1E09000001","GBP1CR"
